Location,Pincode ,State ,District 
Bai Ka bagh,211003,Uttar Pradesh,Allahabad
Bajha Mazra lohia nagar,229412,Uttar Pradesh,Allahabad
Bakajalalpur,212507,Uttar Pradesh,Allahabad
Balapur,212107,Uttar Pradesh,Allahabad
Balraj Nagar,229412,Uttar Pradesh,Allahabad
Bamaila,221503,Uttar Pradesh,Allahabad
Bamhrauli Uparhar,211012,Uttar Pradesh,Allahabad
Bampur,212104,Uttar Pradesh,Allahabad
Bamrauli,211012,Uttar Pradesh,Allahabad
Bamrauli Air port,211012,Uttar Pradesh,Allahabad
Bara,212107,Uttar Pradesh,Allahabad
Barai Harakh,212503,Uttar Pradesh,Allahabad
Baraon,212301,Uttar Pradesh,Allahabad
Barasta Kalan,212405,Uttar Pradesh,Allahabad
Baraut,221502,Uttar Pradesh,Allahabad
Barethi,221505,Uttar Pradesh,Allahabad
Barha,212106,Uttar Pradesh,Allahabad
Barha Kalan,212303,Uttar Pradesh,Allahabad
Bari,212502,Uttar Pradesh,Allahabad
Basahi,212307,Uttar Pradesh,Allahabad
Basahra,212302,Uttar Pradesh,Allahabad
Basahra Uparhar,212108,Uttar Pradesh,Allahabad
Baserhi,212213,Uttar Pradesh,Allahabad
Basgit Bazar,221508,Uttar Pradesh,Allahabad
Basna,212405,Uttar Pradesh,Allahabad
Bedauli,212104,Uttar Pradesh,Allahabad
Beerapur,221503,Uttar Pradesh,Allahabad
Begumsarai,211011,Uttar Pradesh,Allahabad
Belamundi,212107,Uttar Pradesh,Allahabad
Belhat,212302,Uttar Pradesh,Allahabad
Belsara,212106,Uttar Pradesh,Allahabad
Belwa,221507,Uttar Pradesh,Allahabad
Bemra,212108,Uttar Pradesh,Allahabad
Bendon,212307,Uttar Pradesh,Allahabad
Beri,212306,Uttar Pradesh,Allahabad
Bhaganpur,212303,Uttar Pradesh,Allahabad
Bhageshar,212306,Uttar Pradesh,Allahabad
Bhagwatipurkhutana,212503,Uttar Pradesh,Allahabad
Bhagwatpur,211012,Uttar Pradesh,Allahabad
Bhaiyan,212302,Uttar Pradesh,Allahabad
Bhandiwar,212108,Uttar Pradesh,Allahabad
Bhanjanpur,212104,Uttar Pradesh,Allahabad
Bharari,212303,Uttar Pradesh,Allahabad
Bharat Nagar,212106,Uttar Pradesh,Allahabad
Bharatganj,212104,Uttar Pradesh,Allahabad
Bhatauti,212302,Uttar Pradesh,Allahabad
Bhatewra Kathar,212401,Uttar Pradesh,Allahabad
Bhelsi,221502,Uttar Pradesh,Allahabad
Bhita,212107,Uttar Pradesh,Allahabad
Bhiti,221502,Uttar Pradesh,Allahabad
Bhogwara,212405,Uttar Pradesh,Allahabad
Bhopatpur,221503,Uttar Pradesh,Allahabad
Bhunda,212307,Uttar Pradesh,Allahabad
Bigahra Usmanpur,212218,Uttar Pradesh,Allahabad
Bigahuna,212305,Uttar Pradesh,Allahabad
Biharia,229413,Uttar Pradesh,Allahabad
Bihariya,212108,Uttar Pradesh,Allahabad
Bikikalan,212302,Uttar Pradesh,Allahabad
Bilari,221502,Uttar Pradesh,Allahabad
Birpur,212307,Uttar Pradesh,Allahabad
Bisari,212306,Uttar Pradesh,Allahabad
Bisauna,211012,Uttar Pradesh,Allahabad
Bithauli,221502,Uttar Pradesh,Allahabad
Bomapur,212109,Uttar Pradesh,Allahabad
Buir,221508,Uttar Pradesh,Allahabad
Buxie Khurde,211006,Uttar Pradesh,Allahabad
C D a (p),211014,Uttar Pradesh,Allahabad
Cavellary Lines,211004,Uttar Pradesh,Allahabad
Chaka,221508,Uttar Pradesh,Allahabad
Chamrupur Urf nantaut,212402,Uttar Pradesh,Allahabad
Chamu,212106,Uttar Pradesh,Allahabad
Chandopara,212402,Uttar Pradesh,Allahabad
Chandpur,212502,Uttar Pradesh,Allahabad
Chanethu,212401,Uttar Pradesh,Allahabad
Chawki,212305,Uttar Pradesh,Allahabad
Chhapar,212106,Uttar Pradesh,Allahabad
Chhata,212507,Uttar Pradesh,Allahabad
Chhatahra,212107,Uttar Pradesh,Allahabad
Chhatnag,211019,Uttar Pradesh,Allahabad
Chheoki,212105,Uttar Pradesh,Allahabad
Chhibaiya,211019,Uttar Pradesh,Allahabad
Chhiri,212107,Uttar Pradesh,Allahabad
Chhitpalgarh,212507,Uttar Pradesh,Allahabad
Chilla,212107,Uttar Pradesh,Allahabad
Chiraon,212306,Uttar Pradesh,Allahabad
Dandi Bazar,211007,Uttar Pradesh,Allahabad
Dandupur,211008,Uttar Pradesh,Allahabad
Daraganj,211006,Uttar Pradesh,Allahabad
Darashahazmal,211003,Uttar Pradesh,Allahabad
Dari,212302,Uttar Pradesh,Allahabad
Dariyabad,211003,Uttar Pradesh,Allahabad
Daswar,212104,Uttar Pradesh,Allahabad
Deeha,212307,Uttar Pradesh,Allahabad
Deewanganj,212402,Uttar Pradesh,Allahabad
Deoghat,212306,Uttar Pradesh,Allahabad
Deoli,212402,Uttar Pradesh,Allahabad
Deonahri,221507,Uttar Pradesh,Allahabad
Deora,212301,Uttar Pradesh,Allahabad
Dhanaura,212301,Uttar Pradesh,Allahabad
Dhara,212107,Uttar Pradesh,Allahabad
Dhobaha,221502,Uttar Pradesh,Allahabad
Dhokari,221508,Uttar Pradesh,Allahabad
Dhoomanganj,211011,Uttar Pradesh,Allahabad
Distt.Board,211002,Uttar Pradesh,Allahabad
Dohariya,212305,Uttar Pradesh,Allahabad
Dohatha,212104,Uttar Pradesh,Allahabad
Dubaha,212107,Uttar Pradesh,Allahabad
Dubawal,221505,Uttar Pradesh,Allahabad
Dubeypur,212305,Uttar Pradesh,Allahabad
Dumduma,221508,Uttar Pradesh,Allahabad
Fatehpur Ghat,212208,Uttar Pradesh,Allahabad
G T b nagar,211016,Uttar Pradesh,Allahabad
Ganja,211012,Uttar Pradesh,Allahabad
Garapur,221507,Uttar Pradesh,Allahabad
Garha,212306,Uttar Pradesh,Allahabad
Gauspur,212213,Uttar Pradesh,Allahabad
Gauspur Katahula,211012,Uttar Pradesh,Allahabad
George Town,211002,Uttar Pradesh,Allahabad
Ghiya Ngr,212404,Uttar Pradesh,Allahabad
Ghodedeeh,212307,Uttar Pradesh,Allahabad
Ghoorpur,211001,Uttar Pradesh,Allahabad
Girdkot,221502,Uttar Pradesh,Allahabad
Gohari,211013,Uttar Pradesh,Allahabad
Gorigon,212402,Uttar Pradesh,Allahabad
Gunai Gaharpur,212302,Uttar Pradesh,Allahabad
Handia,221503,Uttar Pradesh,Allahabad
Handia Manpur,212306,Uttar Pradesh,Allahabad
Hanumanganj,221505,Uttar Pradesh,Allahabad
Harduwa,212301,Uttar Pradesh,Allahabad
Haripur Marron,221503,Uttar Pradesh,Allahabad
Harisenganj,212507,Uttar Pradesh,Allahabad
Hata,212104,Uttar Pradesh,Allahabad
Hathigahan,211013,Uttar Pradesh,Allahabad
Hetapatti,221507,Uttar Pradesh,Allahabad
Hetapur,221505,Uttar Pradesh,Allahabad
Himkalyan,211003,Uttar Pradesh,Allahabad
Hindi Sahitya sammelan,211003,Uttar Pradesh,Allahabad
Holagarh,212503,Uttar Pradesh,Allahabad
I L c,211008,Uttar Pradesh,Allahabad
I T i,210010,Uttar Pradesh,Allahabad
Imli Gaon,212218,Uttar Pradesh,Allahabad
Indian Press,211002,Uttar Pradesh,Allahabad
Ismailganj,211013,Uttar Pradesh,Allahabad
Issauta,212301,Uttar Pradesh,Allahabad
Jagatpur,221505,Uttar Pradesh,Allahabad
Jagdishpur,211013,Uttar Pradesh,Allahabad
Jaguwa,221503,Uttar Pradesh,Allahabad
Jalalpur Ghosi,211012,Uttar Pradesh,Allahabad
Jalalpur Kasba,212402,Uttar Pradesh,Allahabad
Jamunipur,221505,Uttar Pradesh,Allahabad
Janghai Bazar,212401,Uttar Pradesh,Allahabad
Jari Bazar,212106,Uttar Pradesh,Allahabad
Jasra,212107,Uttar Pradesh,Allahabad
Jaswan,221502,Uttar Pradesh,Allahabad
Jawaniya,212305,Uttar Pradesh,Allahabad
Jhunsi,211019,Uttar Pradesh,Allahabad
K G marg,211002,Uttar Pradesh,Allahabad
K N marg,211001,Uttar Pradesh,Allahabad
Kahli,212109,Uttar Pradesh,Allahabad
Kalyani Devi,211003,Uttar Pradesh,Allahabad
Kamlanagar,212109,Uttar Pradesh,Allahabad
Kanethi,212402,Uttar Pradesh,Allahabad
Kanti,212107,Uttar Pradesh,Allahabad
Kapasi Kalan,212306,Uttar Pradesh,Allahabad
Kapraura,212106,Uttar Pradesh,Allahabad
Kapsa,212402,Uttar Pradesh,Allahabad
Kara,212205,Uttar Pradesh,Allahabad
Karaundi,212502,Uttar Pradesh,Allahabad
Karchha R.s.,212301,Uttar Pradesh,Allahabad
Karchhana,212301,Uttar Pradesh,Allahabad
Karehnda,211012,Uttar Pradesh,Allahabad
Karela Bagh,211016,Uttar Pradesh,Allahabad
Karma,212107,Uttar Pradesh,Allahabad
Karnaipur,212109,Uttar Pradesh,Allahabad
Karpia,212306,Uttar Pradesh,Allahabad
Katahra,221503,Uttar Pradesh,Allahabad
Katghar,211003,Uttar Pradesh,Allahabad
Katra,211002,Uttar Pradesh,Allahabad
Katrauli,212402,Uttar Pradesh,Allahabad
Katwaroopur,221505,Uttar Pradesh,Allahabad
Kaundhiyra,212106,Uttar Pradesh,Allahabad
Kayastha Pathshala,211001,Uttar Pradesh,Allahabad
Kesaria Road,211016,Uttar Pradesh,Allahabad
Kewai Buzurg,221502,Uttar Pradesh,Allahabad
Khain,212307,Uttar Pradesh,Allahabad
Khajuri,212306,Uttar Pradesh,Allahabad
Khakhaicha,212405,Uttar Pradesh,Allahabad
Khaptiha,221508,Uttar Pradesh,Allahabad
Khargapur,212502,Uttar Pradesh,Allahabad
Kheraht Khurd,212106,Uttar Pradesh,Allahabad
Khiri,212106,Uttar Pradesh,Allahabad
Khoonta,212106,Uttar Pradesh,Allahabad
Kiraon,212507,Uttar Pradesh,Allahabad
Kishundaspur,212401,Uttar Pradesh,Allahabad
Konhdar,212301,Uttar Pradesh,Allahabad
Koraon,212306,Uttar Pradesh,Allahabad
Koraur,212401,Uttar Pradesh,Allahabad
Kosda Kalan,212104,Uttar Pradesh,Allahabad
Kotwa,221505,Uttar Pradesh,Allahabad
Krishna Nagar,211003,Uttar Pradesh,Allahabad
Kumhawa,212109,Uttar Pradesh,Allahabad
Kurki Kalan,212302,Uttar Pradesh,Allahabad
Kush Fara,212306,Uttar Pradesh,Allahabad
Lakshagrih,221503,Uttar Pradesh,Allahabad
Lalapur Bhatpura,212107,Uttar Pradesh,Allahabad
Lalgopal Ganj,229413,Uttar Pradesh,Allahabad
Leader,211001,Uttar Pradesh,Allahabad
Leader Road,211003,Uttar Pradesh,Allahabad
Leelapur Kala,221505,Uttar Pradesh,Allahabad
Lendiyari,212106,Uttar Pradesh,Allahabad
Leondi,212107,Uttar Pradesh,Allahabad
Lohgara,212107,Uttar Pradesh,Allahabad
Lokmanpur,221502,Uttar Pradesh,Allahabad
Lutar,212302,Uttar Pradesh,Allahabad
M G marg,211001,Uttar Pradesh,Allahabad
M L n engg.coll.,211004,Uttar Pradesh,Allahabad
Madhonagar Bigahia,211013,Uttar Pradesh,Allahabad
Madra Mukundpur,212305,Uttar Pradesh,Allahabad
Mahajna,221502,Uttar Pradesh,Allahabad
Maharchha,212401,Uttar Pradesh,Allahabad
Mahgaon,212213,Uttar Pradesh,Allahabad
Mahori,212307,Uttar Pradesh,Allahabad
Mahuli,212306,Uttar Pradesh,Allahabad
Maida,212106,Uttar Pradesh,Allahabad
Mailahan,212402,Uttar Pradesh,Allahabad
Majhigaown,212104,Uttar Pradesh,Allahabad
Malak Harhar,211013,Uttar Pradesh,Allahabad
Malaka,211001,Uttar Pradesh,Allahabad
Malawan Khurd,211019,Uttar Pradesh,Allahabad
Manauri,212208,Uttar Pradesh,Allahabad
Manauri Af,212212,Uttar Pradesh,Allahabad
Manda,212104,Uttar Pradesh,Allahabad
Mandardeeh Mafi,211012,Uttar Pradesh,Allahabad
Mandwa Bazar,212401,Uttar Pradesh,Allahabad
Manpur,212107,Uttar Pradesh,Allahabad
Mansoorabad,228411,Uttar Pradesh,Allahabad
Masauli,212303,Uttar Pradesh,Allahabad
Masni Jagdishpur,229412,Uttar Pradesh,Allahabad
Mau Aima,212507,Uttar Pradesh,Allahabad
Mawaiya Hindwani,221503,Uttar Pradesh,Allahabad
Mehraunda,212507,Uttar Pradesh,Allahabad
Meja,212302,Uttar Pradesh,Allahabad
Meja Road,212303,Uttar Pradesh,Allahabad
Mendara,228411,Uttar Pradesh,Allahabad
Mendewa,221507,Uttar Pradesh,Allahabad
Misirpur,212306,Uttar Pradesh,Allahabad
Mohd.Pur gheempur,212507,Uttar Pradesh,Allahabad
Mohdpur Taluka,212208,Uttar Pradesh,Allahabad
Motiha,221508,Uttar Pradesh,Allahabad
Mubarakpur,229412,Uttar Pradesh,Allahabad
Mugarshan,221505,Uttar Pradesh,Allahabad
Mukundpur,212503,Uttar Pradesh,Allahabad
Mungari,212301,Uttar Pradesh,Allahabad
Mutthiganj,211003,Uttar Pradesh,Allahabad
Naganpur,212107,Uttar Pradesh,Allahabad
Nai Bazar,212507,Uttar Pradesh,Allahabad
Naini,211008,Uttar Pradesh,Allahabad
Naini Pac,211008,Uttar Pradesh,Allahabad
Narainganj,212507,Uttar Pradesh,Allahabad
Nasratpur,212502,Uttar Pradesh,Allahabad
Nathupur,212306,Uttar Pradesh,Allahabad
Naudhiya Tarhar,212107,Uttar Pradesh,Allahabad
Nayanwar,212107,Uttar Pradesh,Allahabad
Nehru Nagar,211003,Uttar Pradesh,Allahabad
New Bairahana,211003,Uttar Pradesh,Allahabad
Newada,212507,Uttar Pradesh,Allahabad
Newadhiya,212303,Uttar Pradesh,Allahabad
Newadhiya Uparhar,212108,Uttar Pradesh,Allahabad
Nibaiya,212303,Uttar Pradesh,Allahabad
Nibi,211008,Uttar Pradesh,Allahabad
Nibi Bari,212401,Uttar Pradesh,Allahabad
Nibi Kalan,211019,Uttar Pradesh,Allahabad
Nidura,229413,Uttar Pradesh,Allahabad
Nindula,212401,Uttar Pradesh,Allahabad
Niralachowk,211006,Uttar Pradesh,Allahabad
Niyayipur,212503,Uttar Pradesh,Allahabad
Noorpur,212218,Uttar Pradesh,Allahabad
Othgi Tarhar,212107,Uttar Pradesh,Allahabad
Pachdeora,229412,Uttar Pradesh,Allahabad
Pachera,212306,Uttar Pradesh,Allahabad
Paintiha,212306,Uttar Pradesh,Allahabad
Palpatti,212106,Uttar Pradesh,Allahabad
Panasa,212307,Uttar Pradesh,Allahabad
Panduwa,212107,Uttar Pradesh,Allahabad
Panwar,212107,Uttar Pradesh,Allahabad
Panwari,212106,Uttar Pradesh,Allahabad
Paranipur,212305,Uttar Pradesh,Allahabad
Parewa Narainpur,229413,Uttar Pradesh,Allahabad
Pasna,212302,Uttar Pradesh,Allahabad
Pathra,212301,Uttar Pradesh,Allahabad
Patwa,212401,Uttar Pradesh,Allahabad
Phaphamau,211013,Uttar Pradesh,Allahabad
Phoolpur,212402,Uttar Pradesh,Allahabad
Pindi,212301,Uttar Pradesh,Allahabad
Pipalgaon,211012,Uttar Pradesh,Allahabad
Pipari,212401,Uttar Pradesh,Allahabad
Pipraon,212301,Uttar Pradesh,Allahabad
Piyari Urf bijlipur,229413,Uttar Pradesh,Allahabad
Prayag,211002,Uttar Pradesh,Allahabad
Prayag Mahila vidyapith,211003,Uttar Pradesh,Allahabad
Prem Misirpur korali,228411,Uttar Pradesh,Allahabad
Prem Nagar chauraha,212502,Uttar Pradesh,Allahabad
Prithvipur,221503,Uttar Pradesh,Allahabad
Public Service commission,211018,Uttar Pradesh,Allahabad
Purabnara,212503,Uttar Pradesh,Allahabad
Pure Ghasi,228411,Uttar Pradesh,Allahabad
Pure Kanta,221502,Uttar Pradesh,Allahabad
Purkhas,212218,Uttar Pradesh,Allahabad
Purshottam Nagar,211016,Uttar Pradesh,Allahabad
Purwa Khas,212107,Uttar Pradesh,Allahabad
Rajapur,211002,Uttar Pradesh,Allahabad
Rajrooppur,211011,Uttar Pradesh,Allahabad
Ramaipur,221505,Uttar Pradesh,Allahabad
Ramgarh,212306,Uttar Pradesh,Allahabad
Ramgarh Kothari,212402,Uttar Pradesh,Allahabad
Ramnagar,212305,Uttar Pradesh,Allahabad
Rampur Kalan,212306,Uttar Pradesh,Allahabad
Rampur Kotwa,229413,Uttar Pradesh,Allahabad
Ranipur,211002,Uttar Pradesh,Allahabad
Rokari,212307,Uttar Pradesh,Allahabad
S N marg,211001,Uttar Pradesh,Allahabad
S R marg,211003,Uttar Pradesh,Allahabad
Sahson,221507,Uttar Pradesh,Allahabad
Saidabad,221508,Uttar Pradesh,Allahabad
Saji,212306,Uttar Pradesh,Allahabad
Sallahpur,212208,Uttar Pradesh,Allahabad
Samhan,212303,Uttar Pradesh,Allahabad
Sansarpur,212306,Uttar Pradesh,Allahabad
Sarai Inayat,221505,Uttar Pradesh,Allahabad
Sarai Madan urf chanti,212503,Uttar Pradesh,Allahabad
Saraswatipur Urf kaudhiyar,229412,Uttar Pradesh,Allahabad
Satti Chaura,211003,Uttar Pradesh,Allahabad
Sayed Serawan,212213,Uttar Pradesh,Allahabad
Serawan,229412,Uttar Pradesh,Allahabad
Sewaith,211013,Uttar Pradesh,Allahabad
Shahipur,221503,Uttar Pradesh,Allahabad
Shankargarh,212108,Uttar Pradesh,Allahabad
Shergarh,211012,Uttar Pradesh,Allahabad
Shivgarh,212502,Uttar Pradesh,Allahabad
Shringverpur,228411,Uttar Pradesh,Allahabad
Shukulpur,212104,Uttar Pradesh,Allahabad
Sikandarpur Bazha,212213,Uttar Pradesh,Allahabad
Sikandra,212109,Uttar Pradesh,Allahabad
Sikikhurda,221508,Uttar Pradesh,Allahabad
Silaundhi,212301,Uttar Pradesh,Allahabad
Singra Mau,221507,Uttar Pradesh,Allahabad
Sirsa,212305,Uttar Pradesh,Allahabad
Sirsa Chauraha,221503,Uttar Pradesh,Allahabad
Siswan,212507,Uttar Pradesh,Allahabad
Siyadeeh,221503,Uttar Pradesh,Allahabad
Sohbatia Bagh,211006,Uttar Pradesh,Allahabad
Sonai,212301,Uttar Pradesh,Allahabad
Sonversa,212104,Uttar Pradesh,Allahabad
Soraon,212502,Uttar Pradesh,Allahabad
Soron,212405,Uttar Pradesh,Allahabad
Subedarganj,211011,Uttar Pradesh,Allahabad
Subhash Ngr,211002,Uttar Pradesh,Allahabad
Sujani,212106,Uttar Pradesh,Allahabad
T S l,211010,Uttar Pradesh,Allahabad
Tagore Town,211002,Uttar Pradesh,Allahabad
Tatarganj,212107,Uttar Pradesh,Allahabad
Tejpur,212507,Uttar Pradesh,Allahabad
Tela,221502,Uttar Pradesh,Allahabad
Tigza,212302,Uttar Pradesh,Allahabad
Tilakhwar,212301,Uttar Pradesh,Allahabad
Tilhapur,212218,Uttar Pradesh,Allahabad
Tirath Raj aushadhalaya,211003,Uttar Pradesh,Allahabad
Trisentulapur,212104,Uttar Pradesh,Allahabad
Triveni Marg,211003,Uttar Pradesh,Allahabad
Udyog Nagar,211009,Uttar Pradesh,Allahabad
Ugrasen Pur,212405,Uttar Pradesh,Allahabad
Ulda,229412,Uttar Pradesh,Allahabad
Umari,221507,Uttar Pradesh,Allahabad
Umariasari,212507,Uttar Pradesh,Allahabad
Umarpur Neewan,211011,Uttar Pradesh,Allahabad
Unchdeeh,212305,Uttar Pradesh,Allahabad
University,211002,Uttar Pradesh,Allahabad
Upraura,212305,Uttar Pradesh,Allahabad
Uruwa,212303,Uttar Pradesh,Allahabad
Utraon,221508,Uttar Pradesh,Allahabad
V N marg,211003,Uttar Pradesh,Allahabad
Zera,212303,Uttar Pradesh,Allahabad
